记录ID,标题,发布时间,省份,市,公告类型,来源平台,详情页URL,主品类,主品类-原始口径,全部命中品类,学段,是否学科网相关,已L2精读
0051f32f5ad159834b6f8191045ff2cb32be,四川省绵阳中学2026-2027年五金水电耗材供应商服务项目(二次)招标公告,2026-07-24,四川省,,采购/资审公告,,https://www.ggzy.gov.cn/information/deal/html/a/510000/0201/20260724/0051f32f5ad159834b6f8191045ff2cb32be.html,工程配套,其他,工程配套,一贯制未分段,否,否
001351c464d51f334d4b9596cbb34b08bb5f,赞皇县第四中学空气能改造工程项目竞争性磋商公告,2026-07-24,河北省,,采购/资审公告,石家庄公共资源交易网,https://www.ggzy.gov.cn/information/deal/html/a/130000/0201/20260724/001351c464d51f334d4b9596cbb34b08bb5f.html,校舍维修改造,校舍维修改造,校舍维修改造;工程配套,一贯制未分段,否,否
005073a7093affcd4f79a3c18f09b8707c7c,重庆市聚奎中学校男生宿舍改造工程(JJQ26B00016)竞争性谈判公告,2026-07-24,重庆市,,采购/资审公告,重庆市公共资源交易服务平台,https://www.ggzy.gov.cn/information/deal/html/a/500000/0201/20260724/005073a7093affcd4f79a3c18f09b8707c7c.html,校舍维修改造,校舍维修改造,校舍维修改造,一贯制未分段,否,否
0022bb90e5b843244c39b21435fb20e63969,长春市第二中学多媒体教学设备采购项目采购公告,2026-07-24,吉林省,,采购/资审公告,长春市公共资源交易中心(新),https://www.ggzy.gov.cn/information/deal/html/a/220000/0201/20260724/0022bb90e5b843244c39b21435fb20e63969.html,信息化设备,信息化设备,信息化设备;教学仪器,一贯制未分段,是,否
00129b68d4e9acd0461fa476dd3b8f821ba5,天津市新华中学 天津市新华中学变电站中低压改造项目 (项目编号:BHGJ-2026-C-045)竞争性磋商公告,2026-07-24,天津市,,采购/资审公告,天津市公共资源交易平台交易系统,https://www.ggzy.gov.cn/information/deal/html/a/120000/0201/20260724/00129b68d4e9acd0461fa476dd3b8f821ba5.html,校舍维修改造,校舍维修改造,校舍维修改造;工程配套,一贯制未分段,否,否
00357730985a3295487ba8b81b47ec3df210,福安市民族职业中学操场塑胶跑道及篮球场硅PU翻新修缮工程竞争性磋商公告,2026-07-24,福建省,,采购/资审公告,宁德市公共资源交易中心,https://www.ggzy.gov.cn/information/deal/html/a/350000/0201/20260724/00357730985a3295487ba8b81b47ec3df210.html,校舍维修改造,校舍维修改造,校舍维修改造;工程配套,一贯制未分段,否,否
00435b64e448a37d49c8a30d93ffbf7d055d,长沙市芙蓉区教育局长沙市一中初级中学提质改造信息设备采购招标公告,2026-07-24,湖南省,,采购/资审公告,,https://www.ggzy.gov.cn/information/deal/html/a/430000/0201/20260724/00435b64e448a37d49c8a30d93ffbf7d055d.html,校舍维修改造,校舍维修改造,校舍维修改造,教育局统筹,否,否
005104f61f28ce6848348f0f360fd37bc957,四川省成都市第七中学初中学校2026年物业服务采购项目招标公告,2026-07-24,四川省,,采购/资审公告,,https://www.ggzy.gov.cn/information/deal/html/a/510000/0201/20260724/005104f61f28ce6848348f0f360fd37bc957.html,后勤服务,其他,后勤服务,初中,否,否
0051e921b5e05998496babefd167ac37e461,南江县小河职业中学教室空调采购项目招标公告,2026-07-24,四川省,,采购/资审公告,,https://www.ggzy.gov.cn/information/deal/html/a/510000/0201/20260724/0051e921b5e05998496babefd167ac37e461.html,工程配套,其他,工程配套,一贯制未分段,否,否
00159aa162aa86e243538339d2ef690e0bd8,呼和浩特市第四中学图书馆阅读资源配置项目(二次)招标公告,2026-07-24,内蒙古自治区,,采购/资审公告,,https://www.ggzy.gov.cn/information/deal/html/a/150000/0201/20260724/00159aa162aa86e243538339d2ef690e0bd8.html,图书,图书,图书,一贯制未分段,否,否
005111d3942ac0c148d2ae684ac4edfa539f,四川省成都市中和职业中学（四川省成都高新综合高级中学）2026年实训室建设项目招标公告,2026-07-24,四川省,,采购/资审公告,,https://www.ggzy.gov.cn/information/deal/html/a/510000/0201/20260724/005111d3942ac0c148d2ae684ac4edfa539f.html,实验室设备,实验室设备,实验室设备,高中,否,否
0042cd9056f29f094107bc97372b153a9702,武汉市白玉山中学白玉山中学高中部（青翠苑校区）食堂设施设备采购项目公开招标公告,2026-07-24,湖北省,,采购/资审公告,湖北省政府采购网,https://www.ggzy.gov.cn/information/deal/html/a/420000/0201/20260724/0042cd9056f29f094107bc97372b153a9702.html,食堂设备,食堂设备,食堂设备,高中,否,否
